driver_id,driver_lat,driver_lng,driver_status,timestamp
0,10.82789,106.605,on_trip,2025-12-26 22:25:56
1,10.74898,106.62791,available,2025-12-26 22:25:56
2,10.83534,106.77844,available,2025-12-26 22:25:56
3,10.8181,106.60636,available,2025-12-26 22:25:56
4,10.74373,106.70107,available,2025-12-26 22:25:56
5,10.81225,106.7432,no_available,2025-12-26 22:25:56
6,10.74409,106.71785,available,2025-12-26 22:25:56
7,10.85176,106.63193,no_available,2025-12-26 22:25:56
8,10.76805,106.6311,on_trip,2025-12-26 22:25:56
9,10.72044,106.67599,on_trip,2025-12-26 22:25:56
10,10.8695,106.72075,available,2025-12-26 22:25:56
11,10.84595,106.70725,no_available,2025-12-26 22:25:56
12,10.71576,106.65864,on_trip,2025-12-26 22:25:56
13,10.81547,106.74091,available,2025-12-26 22:25:56
14,10.83225,106.75461,available,2025-12-26 22:25:56
15,10.87106,106.7733,no_available,2025-12-26 22:25:56
16,10.75559,106.72714,on_trip,2025-12-26 22:25:56
17,10.73253,106.67105,on_trip,2025-12-26 22:25:56
18,10.84036,106.73671,available,2025-12-26 22:25:56
19,10.82183,106.63423,offline,2025-12-26 22:25:56
20,10.73268,106.67589,offline,2025-12-26 22:25:56
21,10.83692,106.76857,available,2025-12-26 22:25:56
22,10.74581,106.60642,on_trip,2025-12-26 22:25:56
23,10.78023,106.61324,on_trip,2025-12-26 22:25:56
24,10.74253,106.69985,no_available,2025-12-26 22:25:56
25,10.72857,106.62793,on_trip,2025-12-26 22:25:56
26,10.8494,106.68569,no_available,2025-12-26 22:25:56
27,10.7724,106.79947,offline,2025-12-26 22:25:56
28,10.80191,106.61818,available,2025-12-26 22:25:56
29,10.87222,106.63057,offline,2025-12-26 22:25:56
30,10.85842,106.68443,available,2025-12-26 22:25:56
31,10.77695,106.71918,no_available,2025-12-26 22:25:56
32,10.80582,106.79422,available,2025-12-26 22:25:56
33,10.83606,106.62291,on_trip,2025-12-26 22:25:56
34,10.85372,106.66804,on_trip,2025-12-26 22:25:56
35,10.78695,106.69074,on_trip,2025-12-26 22:25:56
36,10.89438,106.75239,available,2025-12-26 22:25:56
37,10.8741,106.65969,offline,2025-12-26 22:25:56
38,10.73057,106.7525,available,2025-12-26 22:25:56
39,10.81979,106.69772,available,2025-12-26 22:25:56
40,10.88582,106.77574,on_trip,2025-12-26 22:25:56
41,10.74789,106.64817,available,2025-12-26 22:25:56
42,10.71713,106.6972,available,2025-12-26 22:25:56
43,10.8956,106.70654,offline,2025-12-26 22:25:56
