id,driver_id,type,plate_number,brand,model,status
1,user_00007,motorbike,60-M160245,SYM,Galaxy,active
2,user_00008,car,54-K876847,Mazda,Mazda3,active
3,user_00015,motorbike,60-G772286,Yamaha,Nouvo,active
4,user_00016,motorbike,15-I818666,SYM,Attila,active
5,user_00019,motorbike,61-X460236,SYM,Angel,active
6,user_00020,motorbike,62-U135065,Yamaha,Grande,active
7,user_00021,motorbike,60-G398490,Yamaha,Grande,active
8,user_00023,motorbike,63-P928493,Yamaha,Nouvo,active
9,user_00024,motorbike,61-G896651,SYM,Attila,active
10,user_00026,motorbike,60-Z681855,Yamaha,Grande,active
11,user_00027,motorbike,59-Z229840,Yamaha,Exciter,active
12,user_00031,motorbike,15-N997629,Honda,Vision,active
13,user_00032,motorbike,15-J064040,SYM,Galaxy,active
14,user_00033,motorbike,60-J673284,SYM,Galaxy,active
15,user_00034,motorbike,63-T883355,Yamaha,Janus,active
16,user_00038,motorbike,61-G272822,SYM,Attila,active
17,user_00040,motorbike,59-J338604,SYM,Galaxy,active
18,user_00044,motorbike,62-J637972,SYM,Galaxy,active
19,user_00045,motorbike,61-Y198115,Yamaha,Grande,active
20,user_00050,motorbike,15-S900656,Yamaha,Grande,active
21,user_00052,car,60-T375956,Toyota,Innova,active
22,user_00055,motorbike,61-K175157,Yamaha,Nouvo,active
23,user_00059,motorbike,61-M759041,Honda,Winner X,active
24,user_00065,car,63-H738961,Hyundai,Accent,active
25,user_00066,motorbike,61-U670413,Honda,Future Neo,active
26,user_00068,motorbike,54-G907560,Yamaha,Grande,active
27,user_00069,car,59-F526918,Honda,CR-V,active
28,user_00070,motorbike,62-I497234,Yamaha,Nouvo,active
29,user_00071,motorbike,61-J983449,Yamaha,Janus,active
30,user_00074,motorbike,63-M412021,Honda,Air Blade,active
31,user_00078,motorbike,61-D896407,Honda,SH Mode,active
32,user_00084,motorbike,60-W299875,Yamaha,Grande,active
33,user_00086,motorbike,60-H879784,SYM,Angel,active
34,user_00088,motorbike,54-Z056319,Yamaha,Nouvo,active
35,user_00090,motorbike,60-I538877,Yamaha,Janus,active
36,user_00092,motorbike,63-N787850,Yamaha,Exciter,active
37,user_00094,motorbike,63-T283209,SYM,Attila,active
38,user_00095,motorbike,62-Y475294,Honda,Vision,active
39,user_00107,motorbike,61-Y423267,SYM,Elizabeth,active
40,user_00111,motorbike,59-G548455,Yamaha,Exciter,active
41,user_00112,motorbike,59-J560682,Honda,Future Neo,active
42,user_00113,motorbike,54-J596424,Yamaha,Sirius,active
43,user_00115,motorbike,63-Z349809,Yamaha,Grande,active
44,user_00116,motorbike,61-D585106,SYM,Elizabeth,active
45,user_00120,car,61-G869338,Kia,Sorento,active
46,user_00122,motorbike,63-B136538,SYM,Attila,active
47,user_00123,motorbike,59-C539825,Yamaha,Grande,active
48,user_00125,motorbike,63-P993806,Honda,Vision,active
49,user_00126,motorbike,63-G095321,SYM,Galaxy,active
50,user_00128,car,59-N099131,Mazda,CX-8,active
51,user_00132,motorbike,15-O789259,Honda,SH Mode,active
52,user_00134,car,54-K808618,Mazda,Mazda3,active
53,user_00135,motorbike,63-O634508,SYM,Galaxy,active
54,user_00137,motorbike,15-D635401,Honda,SH Mode,active
55,user_00138,motorbike,62-E561246,Honda,Future Neo,active
56,user_00139,motorbike,61-S033677,Honda,Vision,active
